item_cause,item_effect,best_lag,p_value,is_causal,fdr_rejected,fdr_threshold
MIRCVAMV,IGDVVKUD,1.0,0.7409040037167491,False,False,0.012865497076023392
QSDCUCLB,LLHREMKS,1.0,0.7432164645997607,False,False,0.012865497076023392
XUOIQPFL,LLHREMKS,1.0,0.7439311594709792,False,False,0.012865497076023392
KFQSHBNH,FDXPMYGF,1.0,0.746662270622291,False,False,0.012865497076023392
RJCAXSGH,IGDVVKUD,4.0,0.7552784220075536,False,False,0.012865497076023392
JSLXRQOK,BSRMSVTC,1.0,0.756135099306612,False,False,0.012865497076023392
FDXPMYGF,DJBLNPNC,2.0,0.7586481505264766,False,False,0.012865497076023392
FDXPMYGF,JSLXRQOK,2.0,0.7603325997457736,False,False,0.012865497076023392
LLHREMKS,RUVXNNVA,1.0,0.7605921339877978,False,False,0.012865497076023392
QSDCUCLB,KFQSHBNH,1.0,0.7704897354944373,False,False,0.012865497076023392
FDXPMYGF,KFQSHBNH,2.0,0.772362289430493,False,False,0.012865497076023392
FDXPMYGF,RUVXNNVA,1.0,0.7730580329606108,False,False,0.012865497076023392
MIRCVAMV,QRKRBYJL,6.0,0.7735099103131924,False,False,0.012865497076023392
MIRCVAMV,UGEQLMXM,2.0,0.776721653311413,False,False,0.012865497076023392
BSRMSVTC,KFQSHBNH,2.0,0.7947907184390097,False,False,0.012865497076023392
QSDCUCLB,RUVXNNVA,1.0,0.7963191253070561,False,False,0.012865497076023392
XIIEJNEE,BSRMSVTC,2.0,0.7982431674133962,False,False,0.012865497076023392
RUVXNNVA,MIRCVAMV,1.0,0.7983448006287113,False,False,0.012865497076023392
IGDVVKUD,RJCAXSGH,1.0,0.8044212635303153,False,False,0.012865497076023392
IGDVVKUD,MIRCVAMV,6.0,0.8088733912147921,False,False,0.012865497076023392
RJCAXSGH,FDXPMYGF,1.0,0.8108227958887558,False,False,0.012865497076023392
XIIEJNEE,MIRCVAMV,1.0,0.8166385661141817,False,False,0.012865497076023392
BSRMSVTC,IGDVVKUD,1.0,0.8172004251966709,False,False,0.012865497076023392
KFQSHBNH,MIRCVAMV,4.0,0.8189254017008183,False,False,0.012865497076023392
BSRMSVTC,RUVXNNVA,1.0,0.8459904746491919,False,False,0.012865497076023392
VBYCLTYZ,MIRCVAMV,1.0,0.8564068179314197,False,False,0.012865497076023392
MIRCVAMV,KFQSHBNH,2.0,0.8712973810283758,False,False,0.012865497076023392
FDXPMYGF,MIRCVAMV,3.0,0.8919470114652763,False,False,0.012865497076023392
LLHREMKS,FDXPMYGF,1.0,0.9779836058562728,False,False,0.012865497076023392
BSRMSVTC,GMBFCMIU,,,False,False,0.012865497076023392
FDXPMYGF,GMBFCMIU,,,False,False,0.012865497076023392
UGEQLMXM,GMBFCMIU,,,False,False,0.012865497076023392
JSLXRQOK,GMBFCMIU,,,False,False,0.012865497076023392
KFQSHBNH,GMBFCMIU,,,False,False,0.012865497076023392
XIIEJNEE,GMBFCMIU,,,False,False,0.012865497076023392
SDWAYPIK,GMBFCMIU,,,False,False,0.012865497076023392
XUOIQPFL,GMBFCMIU,,,False,False,0.012865497076023392
DNMPSKTB,GMBFCMIU,,,False,False,0.012865497076023392
GMBFCMIU,BSRMSVTC,,,False,False,0.012865497076023392
GMBFCMIU,FDXPMYGF,,,False,False,0.012865497076023392
GMBFCMIU,UGEQLMXM,,,False,False,0.012865497076023392
GMBFCMIU,JSLXRQOK,,,False,False,0.012865497076023392
GMBFCMIU,KFQSHBNH,,,False,False,0.012865497076023392
GMBFCMIU,XIIEJNEE,,,False,False,0.012865497076023392
GMBFCMIU,SDWAYPIK,,,False,False,0.012865497076023392
GMBFCMIU,XUOIQPFL,,,False,False,0.012865497076023392
GMBFCMIU,DNMPSKTB,,,False,False,0.012865497076023392
GMBFCMIU,LLHREMKS,,,False,False,0.012865497076023392
GMBFCMIU,IGDVVKUD,,,False,False,0.012865497076023392
GMBFCMIU,VBYCLTYZ,,,False,False,0.012865497076023392
GMBFCMIU,MIRCVAMV,,,False,False,0.012865497076023392
GMBFCMIU,QSDCUCLB,,,False,False,0.012865497076023392
GMBFCMIU,ATLDMDBO,,,False,False,0.012865497076023392
GMBFCMIU,RJCAXSGH,,,False,False,0.012865497076023392
GMBFCMIU,DJBLNPNC,,,False,False,0.012865497076023392
GMBFCMIU,QRKRBYJL,,,False,False,0.012865497076023392
GMBFCMIU,RUVXNNVA,,,False,False,0.012865497076023392
LLHREMKS,GMBFCMIU,,,False,False,0.012865497076023392
IGDVVKUD,GMBFCMIU,,,False,False,0.012865497076023392
VBYCLTYZ,GMBFCMIU,,,False,False,0.012865497076023392
MIRCVAMV,GMBFCMIU,,,False,False,0.012865497076023392
QSDCUCLB,GMBFCMIU,,,False,False,0.012865497076023392
ATLDMDBO,GMBFCMIU,,,False,False,0.012865497076023392
RJCAXSGH,GMBFCMIU,,,False,False,0.012865497076023392
DJBLNPNC,GMBFCMIU,,,False,False,0.012865497076023392
QRKRBYJL,GMBFCMIU,,,False,False,0.012865497076023392
RUVXNNVA,GMBFCMIU,,,False,False,0.012865497076023392
